NAME,AGENT
"AMPAVATHINA TEXTILE,PRODDATUR",RAVVA SUDEEPTI
ANDELA TEXTILES PRIVATE LIMITED,RAVVA SUDEEPTI
"ANVITHAA TEXTILE,Tirupati",RAVVA SUDEEPTI
"APURVA SILK,Chittoor",RAVVA SUDEEPTI
"APURVA TEXTILES,TIRUPATI",RAVVA SUDEEPTI
"APURVA TRADERS,Chittoor",RAVVA SUDEEPTI
B.G.C. ENTERPRISES,RAVVA SUDEEPTI
B.SUBARAMAIAH,RAVVA SUDEEPTI
"BALAJI HANDLOOM, KURNOOL",RAVVA SUDEEPTI
"BALAKRISHNA AGENCIES, ANANTAPURAMU",RAVVA SUDEEPTI
BUDDA VENKATASUBBAREDDY,RAVVA SUDEEPTI
"CHOWDESWARI TEXTILE, ANANTAPUR",RAVVA SUDEEPTI
"D L SILKS,RAJAMPET ( OLD)",RAVVA SUDEEPTI
"D L SILKS,RAJAMPET (37ADAPK6324J1ZK)",RAVVA SUDEEPTI
"DHANALAKSHMI CLOTHHALL,MADANAPALLY",RAVVA SUDEEPTI
"DHANLAXMI TEXTILE,MADANPALE",RAVVA SUDEEPTI
"DHANYA TEXTILES,PRODDATUR",RAVVA SUDEEPTI
"DKS TEXTILE, PRODDATUR",RAVVA SUDEEPTI
"DONTHU TEXTILE, PRODDATUR",RAVVA SUDEEPTI
"G P Textiles,,KURNOOL,",RAVVA SUDEEPTI
G V RATTAIAH,RAVVA SUDEEPTI
"GANESH CUT PIECE CLOTH CENTRE,JAMMALAMAD",RAVVA SUDEEPTI
"GURU PARSHAD TEXTILES , PRODDATUR",RAVVA SUDEEPTI
"HASTIMAL RIKHABCHAND , ANANTAPUR",RAVVA SUDEEPTI
"J K TEXTILES,Vellore",RAVVA SUDEEPTI
"J.S.V BALAKRISHNA,TANUKU",RAVVA SUDEEPTI
"JESWANT TEXTILE,KANIGIRI",RAVVA SUDEEPTI
"K P M TEXTILE,MARKAPUR",RAVVA SUDEEPTI
K.H.N.DURGA PARSHAD,RAVVA SUDEEPTI
KAMATI GURIVIREDDY,RAVVA SUDEEPTI
KANAPARTHY THRIVIKRAMA REDDY,RAVVA SUDEEPTI
KASIREDDY AMARESWARA REDDY,RAVVA SUDEEPTI
KOPPARAPU LAXMI MADHURI,RAVVA SUDEEPTI
"KRISHNAVENI TEXTILE, KAVALI",RAVVA SUDEEPTI
"KSR TEXTILES,CHITTOOR,MADANAPALLE",RAVVA SUDEEPTI
"KUMAR HANDLOOM,CHENGALPATTU",RAVVA SUDEEPTI
"LALITHA TEXTILE, MARKAPUR",RAVVA SUDEEPTI
"MADHAVI HANDLOOMS,MARKAPUR",RAVVA SUDEEPTI
"MAHALAXMI HANDLOOMS,KAVALI",RAVVA SUDEEPTI
"MAHALAXMI TEXTILE, ANANTPUR",RAVVA SUDEEPTI
MATTUPALLE MANOHAR REDDY,RAVVA SUDEEPTI
"MUKTAM RAMANJANEYULU,ANANTAPUR",RAVVA SUDEEPTI
"MURALI TEXTILES,ANANTAPUR",RAVVA SUDEEPTI
NAMA NAGA SRINIVASULU,RAVVA SUDEEPTI
NAMA RAMESH BABU,RAVVA SUDEEPTI
"NAMA SAREES CENTRE,PRODDATUR",RAVVA SUDEEPTI
"NAVATHA SAREES CENTRE,PRODDATUR",RAVVA SUDEEPTI
"NAVEEN TEXTILE,PAMURU",RAVVA SUDEEPTI
NEW BALAGANESHWARA SWAMY TEXTILES,RAVVA SUDEEPTI
"NEW PADMAVATI TEXTILES,PRODDATUR",RAVVA SUDEEPTI
"NEW SREE RAMA VASTRALAYAM,PRODDATUR",RAVVA SUDEEPTI
"NEW SRI RAMA TEXTILES,PRODDATUR",RAVVA SUDEEPTI
"NEW SRI SAI CLOTH STORES AND GARMENTS,KU",RAVVA SUDEEPTI
"OM PAVAN SHOPING MALL,DARSI,",RAVVA SUDEEPTI
PADMA SHREE TEXTILE,RAVVA SUDEEPTI
"POORNIMA TEXTILE, VELLORE",RAVVA SUDEEPTI
"PRASAD TEXTILE ,KURNOOL",RAVVA SUDEEPTI
"PRIYA MAHESH TEXTILES,NANDYAL",RAVVA SUDEEPTI
"RAJA RAJESWARI TEXTILES,proddatur",RAVVA SUDEEPTI
"RAJENDRA AGENCIES, ANANTAPUR",RAVVA SUDEEPTI
"RAJENDRA HANDLOOMS,Anantapur",RAVVA SUDEEPTI
"RAMAN TEXTILE,PATTIKONDA",RAVVA SUDEEPTI
RAVVA ANIL KUMAR,RAVVA SUDEEPTI
"SAI NADHA TEXTILES,GIDDALUR",RAVVA SUDEEPTI
"SATHYANARAYANA TEXTILES,MADANAPALLE",RAVVA SUDEEPTI
"SATYANARYAN HANDLOOM,KURNOOL",RAVVA SUDEEPTI
"SHOBHA TEXTILES,KURNOOL",RAVVA SUDEEPTI
"SHRI LAKSHMI NARSIMHA VASTRALAYAM, PRODD",RAVVA SUDEEPTI
SHRI RAMA VASTRALAYAM,RAVVA SUDEEPTI
"SOMA CHANDER SHEKHAR, PRODDATUR",RAVVA SUDEEPTI
"SREE GURU RAGAVENDRA TEXTILES,VELLORE",RAVVA SUDEEPTI
"SREE MAHA LAKSHMI HANDLOOMS,proddatur",RAVVA SUDEEPTI
"SREE PADMAVATHI HANDLOOMS,PRODDATUR",RAVVA SUDEEPTI
"SREE TEXTILE,TADIPATRI",RAVVA SUDEEPTI
SREE VEERABHADRA SWAMY SHOPPING MALL,RAVVA SUDEEPTI
"SREE VIJAYALAXMI TEXTILES, PRODDATUR",RAVVA SUDEEPTI
SRI BALA GANESWARA SWAMY TEXTILE,RAVVA SUDEEPTI
"SRI BALAJI VASTRALAYAM,KURNOOL",RAVVA SUDEEPTI
"SRI BHAGYALAKSHMI HANDLOOMS,KAVALI",RAVVA SUDEEPTI
"SRI DATTA TRADERS,ERODE",RAVVA SUDEEPTI
"SRI DHANA LAXMI SILKS,MADANPALLI",RAVVA SUDEEPTI
"SRI DHANALAKSHMI HANDLOOMS,PRODDATUR,",RAVVA SUDEEPTI
SRI GOWRI TEXTILES,RAVVA SUDEEPTI
"SRI HARI TEXTILE,PRODDATUR",RAVVA SUDEEPTI
SRI KODANDA RAMA TRADING COMPANY,RAVVA SUDEEPTI
"SRI LAKSHMI HANDLOOMS,Nellore",RAVVA SUDEEPTI
SRI LAKSHMI NARASIMHA SWAMY TEXTILES.Ana,RAVVA SUDEEPTI
SRI LAKSHMI NARASIMHA TEXTORIUM,RAVVA SUDEEPTI
"SRI LAKSHMI VENKATESWARA TEXTILES,CHIMAK",RAVVA SUDEEPTI
"SRI MADAN TEXTILES,Ananthapuramu,",RAVVA SUDEEPTI
"SRI MADAN TEXTILES,GUNTAKAL",RAVVA SUDEEPTI
SRI MAHA DEVI TEXTILES,RAVVA SUDEEPTI
"SRI NAGESWARA TEXTILES, PRODDATUR",RAVVA SUDEEPTI
"SRI NEELAKANTESWARA TEXTILES,Kurnool",RAVVA SUDEEPTI
SRI RAJYALAKSHMI CLOTH EMPORIUM,RAVVA SUDEEPTI
